Iteration Report: 

| iter  | success | list size |     min alpha    |     max alpha    |
|    87 |     0   |      53   | +8.00000000e+00 | +1.28000000e+02 |
|    88 |     0   |      53   | +8.00000000e+00 | +1.28000000e+02 |
|    89 |     0   |      53   | +8.00000000e+00 | +1.28000000e+02 |
|    90 |     1   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    91 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    92 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    93 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    94 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    95 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    96 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    97 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    98 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|    99 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|   100 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|   101 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|   102 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|   103 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|   104 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|   105 |     0   |      54   | +8.00000000e+00 | +1.28000000e+02 |
|   106 |     1   |      56   | +8.00000000e+00 | +1.28000000e+02 |
|   107 |     0   |      56   | +8.00000000e+00 | +1.28000000e+02 |
|   108 |     1   |      58   | +8.00000000e+00 | +1.28000000e+02 |
|   109 |     0   |      58   | +8.00000000e+00 | +1.28000000e+02 |
|   110 |     1   |      58   | +8.00000000e+00 | +1.28000000e+02 |
|   111 |     0   |      58   | +8.00000000e+00 | +1.28000000e+02 |
|   112 |     1   |      60   | +8.00000000e+00 | +1.28000000e+02 |
|   113 |     1   |      60   | +8.00000000e+00 | +1.28000000e+02 |
|   114 |     1   |      62   | +8.00000000e+00 | +1.28000000e+02 |
|   115 |     1   |      64   | +8.00000000e+00 | +1.28000000e+02 |
|   116 |     1   |      66   | +8.00000000e+00 | +1.28000000e+02 |
|   117 |     1   |      68   | +8.00000000e+00 | +1.28000000e+02 |
|   118 |     1   |      70   | +8.00000000e+00 | +1.28000000e+02 |
|   119 |     1   |      71   | +8.00000000e+00 | +1.28000000e+02 |
|   120 |     1   |      72   | +8.00000000e+00 | +1.28000000e+02 |
|   121 |     1   |      71   | +8.00000000e+00 | +1.28000000e+02 |
|   122 |     0   |      71   | +8.00000000e+00 | +1.28000000e+02 |
|   123 |     0   |      71   | +8.00000000e+00 | +1.28000000e+02 |
|   124 |     1   |      72   | +8.00000000e+00 | +1.28000000e+02 |
|   125 |     0   |      72   | +8.00000000e+00 | +1.28000000e+02 |
|   126 |     1   |      73   | +8.00000000e+00 | +1.28000000e+02 |
|   127 |     0   |      73   | +8.00000000e+00 | +1.28000000e+02 |
|   128 |     0   |      73   | +4.00000000e+00 | +1.28000000e+02 |
|   129 |     0   |      73   | +4.00000000e+00 | +1.28000000e+02 |
|   130 |     0   |      73   | +4.00000000e+00 | +1.28000000e+02 |
|   131 |     0   |      73   | +4.00000000e+00 | +1.28000000e+02 |
|   132 |     0   |      73   | +4.00000000e+00 | +1.28000000e+02 |
|   133 |     0   |      73   | +4.00000000e+00 | +1.28000000e+02 |
|   134 |     1   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   135 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   136 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   137 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   138 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   139 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   140 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   141 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   142 |     0   |      74   | +4.00000000e+00 | +1.28000000e+02 |
|   143 |     1   |      75   | +4.00000000e+00 | +1.28000000e+02 |
|   144 |     0   |      75   | +4.00000000e+00 | +1.28000000e+02 |
|   145 |     0   |      75   | +4.00000000e+00 | +1.28000000e+02 |
|   146 |     0   |      75   | +4.00000000e+00 | +1.28000000e+02 |
|   147 |     0   |      75   | +4.00000000e+00 | +1.28000000e+02 |
|   148 |     1   |      76   | +4.00000000e+00 | +1.28000000e+02 |
|   149 |     0   |      76   | +4.00000000e+00 | +1.28000000e+02 |
|   150 |     0   |      76   | +4.00000000e+00 | +1.28000000e+02 |
|   151 |     0   |      76   | +4.00000000e+00 | +1.28000000e+02 |
|   152 |     1   |      77   | +4.00000000e+00 | +1.28000000e+02 |
|   153 |     0   |      77   | +4.00000000e+00 | +1.28000000e+02 |
|   154 |     1   |      78   | +4.00000000e+00 | +1.28000000e+02 |
|   155 |     0   |      78   | +4.00000000e+00 | +1.28000000e+02 |
|   156 |     0   |      78   | +4.00000000e+00 | +1.28000000e+02 |
|   157 |     0   |      78   | +4.00000000e+00 | +1.28000000e+02 |
|   158 |     0   |      78   | +2.00000000e+00 | +1.28000000e+02 |
|   159 |     0   |      78   | +2.00000000e+00 | +1.28000000e+02 |
|   160 |     1   |      79   | +2.00000000e+00 | +1.28000000e+02 |
|   161 |     0   |      79   | +2.00000000e+00 | +1.28000000e+02 |
|   162 |     1   |      79   | +2.00000000e+00 | +1.28000000e+02 |
|   163 |     0   |      79   | +2.00000000e+00 | +1.28000000e+02 |
|   164 |     0   |      79   | +2.00000000e+00 | +1.28000000e+02 |
|   165 |     0   |      79   | +2.00000000e+00 | +1.28000000e+02 |
|   166 |     0   |      79   | +2.00000000e+00 | +1.28000000e+02 |
|   167 |     1   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   168 |     0   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   169 |     0   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   170 |     0   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   171 |     0   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   172 |     0   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   173 |     0   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   174 |     0   |      80   | +2.00000000e+00 | +1.28000000e+02 |
|   175 |     1   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   176 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   177 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   178 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   179 |     1   |      82   | +2.00000000e+00 | +1.28000000e+02 |
|   180 |     0   |      82   | +2.00000000e+00 | +1.28000000e+02 |
|   181 |     0   |      82   | +2.00000000e+00 | +1.28000000e+02 |
|   182 |     0   |      82   | +2.00000000e+00 | +1.28000000e+02 |
|   183 |     0   |      82   | +2.00000000e+00 | +1.28000000e+02 |
|   184 |     1   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   185 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   186 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   187 |     1   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   188 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   189 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   190 |     0   |      81   | +2.00000000e+00 | +1.28000000e+02 |
|   191 |     1   |      82   | +2.00000000e+00 | +1.28000000e+02 |
|   192 |     0   |      82   | +2.00000000e+00 | +1.28000000e+02 |
|   193 |     1   |      83   | +2.00000000e+00 | +1.28000000e+02 |
|   194 |     0   |      83   | +2.00000000e+00 | +1.28000000e+02 |
|   195 |     0   |      83   | +2.00000000e+00 | +1.28000000e+02 |
|   196 |     0   |      83   | +2.00000000e+00 | +1.28000000e+02 |
|   197 |     1   |      85   | +2.00000000e+00 | +1.28000000e+02 |
|   198 |     0   |      85   | +2.00000000e+00 | +1.28000000e+02 |
|   199 |     0   |      85   | +1.00000000e+00 | +1.28000000e+02 |
|   200 |     0   |      85   | +1.00000000e+00 | +1.28000000e+02 |
|   201 |     1   |      86   | +1.00000000e+00 | +1.28000000e+02 |
|   202 |     0   |      86   | +1.00000000e+00 | +1.28000000e+02 |
|   203 |     0   |      86   | +1.00000000e+00 | +1.28000000e+02 |
|   204 |     1   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   205 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   206 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   207 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   208 |     1   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   209 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   210 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   211 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   212 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   213 |     1   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   214 |     0   |      87   | +1.00000000e+00 | +1.28000000e+02 |
|   215 |     1   |      86   | +1.00000000e+00 | +1.28000000e+02 |
|   216 |     0   |      86   | +1.00000000e+00 | +1.28000000e+02 |
|   217 |     0   |      86   | +1.00000000e+00 | +1.28000000e+02 |
|   218 |     0   |      86   | +1.00000000e+00 | +1.28000000e+02 |
|   219 |     1   |      89   | +1.00000000e+00 | +1.28000000e+02 |
|   220 |     0   |      89   | +1.00000000e+00 | +1.28000000e+02 |
|   221 |     0   |      89   | +1.00000000e+00 | +1.28000000e+02 |
|   222 |     0   |      89   | +1.00000000e+00 | +1.28000000e+02 |
|   223 |     1   |      90   | +1.00000000e+00 | +1.28000000e+02 |
|   224 |     0   |      90   | +1.00000000e+00 | +1.28000000e+02 |
|   225 |     0   |      90   | +1.00000000e+00 | +1.28000000e+02 |
|   226 |     0   |      90   | +1.00000000e+00 | +1.28000000e+02 |
|   227 |     0   |      90   | +1.00000000e+00 | +1.28000000e+02 |
|   228 |     0   |      90   | +1.00000000e+00 | +1.28000000e+02 |
|   229 |     1   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   230 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   231 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   232 |     0   |      91   | +1.00000000e+00 | +1.28000000e+02 |
|   233 |     1   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   234 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   235 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   236 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   237 |     0   |      92   | +1.00000000e+00 | +1.28000000e+02 |
|   238 |     1   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   239 |     1   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   240 |     1   |      96   | +1.00000000e+00 | +1.28000000e+02 |
|   241 |     1   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   242 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   243 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   244 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   245 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   246 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   247 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   248 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   249 |     0   |      95   | +1.00000000e+00 | +1.28000000e+02 |
|   250 |     1   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   251 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   252 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   253 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   254 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   255 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   256 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   257 |     0   |      93   | +1.00000000e+00 | +1.28000000e+02 |
|   258 |     1   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   259 |     0   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   260 |     0   |      94   | +1.00000000e+00 | +1.28000000e+02 |
|   261 |     0   |      94   | +1.00000000e+00 | +1.28000000e+02 |
